B Pan,Cd19,Cd79a,Cd79b,Pax5,,,,,,,,,,,,,,,
B Memory,IghA,Ighg2a,Ighg2b,Ighg2c,Ighg3,,,,,,,,,,,,,,
B Naive,Ighd,Ighm,,,,,,,,,,,,,,,,,
Macrophage,Adgre1,Tlr4,Pon3,Ctsd,Tlr7,Fcgr3,Fcgr1,Cd14,Mertk,Cd68,,,,,,,,,
NK,Ncr1,Gzmb,Ifng,Ccl5,Klrb1,,,,,,,,,,,,,,
T Central Memory,Ccr7,Sell,Cd44,Il7r,Bcl6,Bcl6b,Mbd2,Bmi1,Cd40lg,Ifng,Il17a,Il4,,,,,,,
T Cytotoxic,Cd8a,Cd8b1,Tbx21,Eomes,Eomes,Prdm1,Gzma,Gzmb,Ifng,Prf1,,,,,,,,,
T Effector Memory,Cd44,Il7r,Il15ra,Prdm1,,,,,,,,,,,,,,,
NKT,Cd160,Klrg1,Klrb1,Zbtb16,,,,,,,,,,,,,,,
T Pan,Trac,Trbc1,Trbc2,Cd3d,Cd3e,Cd3g,,,,,,,,,,,,,
T Regulatory,Cd4,Cd25,Ctla4,Foxp3,Foxo3,Il10,,,,,,,,,,,,,
T Tfh,Cd4,Cxcr5,Cd40lg,Icos,Pdcd1,Bcl6,Tnfrsf4,Il21r,,,,,,,,,,,
T Th1,Cd4,Il12rb1,Ifng,Cxcr3,Tbx21,Stat1,,,,,,,,,,,,,
T Th17,Cd4,Il23r,Ccr6,Il1r1,Rorc,Rora,Stat3,Il17a,Il17f,Il21,Il22,,,,,,,,
T Th2,Cd4,Il4r,Ccr4,Gata3,Il4,Il5,Il13,Stat6,,,,,,,,,,,
T gd,Trdc,,,,,,,,,,,,,,,,,,
Monocyte Ly-6C hi,Ly6c1,Ccr2,Itgam,Ly6g,,,,,,,,,,,,,,,
Monocyte Ly-6C lo,Cx3cr1,Itgam,,,,,,,,,,,,,,,,,
Cell Cycle M,Aurka,Aurkb,Tpx2,Ube2c,Hmmr,Top2a,Ccnb1,Nusap1,Nuf2,Cdc6,Hist1h4c,Birc5,Cks2,,,,,,
Cell Cycle S,Mcm5,Pcna,Tyms,Mcm2,Mcm4,Gins2,Ung,Rrm1,Mcm6,Cdca7,Prim1,Dtl,Tk1,,,,,,
Pancreas,Krt19,Thbs2,Gcg,Ins1,Ins2,Sst,Ppy,Col1a1,Esam,Mafa,Mafb,Prg4,Sertm1,Spp1,Pnlip,,,,
Pancreatic Alpha,Gcg,Loxl4,Plce1,Irx2,Gc,Klhl41,Cryba2,Ttr,Tm4sf4,Rgs4,Fev,Arx,Ptger3,Hmgb3,Rfx6,Mafb,Smarca1,Pgr,Ldb2
Pancreatic Beta,Ins,Iapp,Mafa,Nptx2,Dlk1,Adcyap1,Pfkfb2,Pdx1,Tgfbr3,Syt13,Smad9,Cdkn1c,Tfcp2l1,Six3,Six2,Mnx1,Bmp5,Pir,
Pancreatic Delta,Sst,Prg4,Lepr,Rbp4,Bche,Hhex,Frzb,Pcsk1,Rgs2,Gabrg2,Erbb4,Pou3f1,Isl1,Psip1,Bhlhe41,Pdlim4,Ehf,Lcorl,Etv1
Pancreatic PP,Etv1,Ppy,Sertm1,Cartpt,Slitrk6,Thsd7a,Aqp3,Entpd2,Ptgfr,Chn2,Meis2,Id2,Egr3,Lmo3,Meis1,Id4,Pax6,Znf503,
Pancreatic Duct,Krt19,Spp1,,,,,,,,,,,,,,,,,
